Statistical profiling result from isolate-0x5b12700-84437-v8.log, (4845 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *createProtoAccessControl /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/internal/proto-access.js:19:34
      1    0.0%    0.1%  LazyCompile: *contextName /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:990:36
      1    0.0%    0.1%  LazyCompile: *castChunk /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
      1    0.0%    0.1%  LazyCompile: *basename node:path:1306:11
      1    0.0%    0.1%  LazyCompile: *_unrefTimer node:net:402:52
      1    0.0%    0.1%  LazyCompile: *_getFile /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:299:17
      1    0.0%    0.1%  LazyCompile: *SourceNode_add /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/source-map/lib/source-node.js:172:51
      1    0.0%    0.1%  LazyCompile: *SourceLocation /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:32:24
      1    0.0%    0.1%  LazyCompile: *ReadableState node:internal/streams/readable:78:23
      1    0.0%    0.1%  LazyCompile: *MustacheStatement /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:215:48
      1    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28

 [C++]:
   ticks  total  nonlib   name
     97    2.0%   10.9%  __read
     72    1.5%    8.1%  epoll_pwait
     62    1.3%    7.0%  __pthread_cond_signal
     57    1.2%    6.4%  fwrite
     51    1.1%    5.7%  __write
     26    0.5%    2.9%  __libc_read
     24    0.5%    2.7%  __GI___pthread_mutex_unlock
     20    0.4%    2.3%  __pthread_cond_wait
     15    0.3%    1.7%  syscall
     14    0.3%    1.6%  __libc_malloc
     13    0.3%    1.5%  _IO_file_xsputn
     12    0.2%    1.4%  __mprotect
     11    0.2%    1.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     10    0.2%    1.1%  __libc_open
      5    0.1%    0.6%  __lll_lock_wait
      4    0.1%    0.5%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      4    0.1%    0.5%  fgets
      4    0.1%    0.5%  cfree
      4    0.1%    0.5%  __munmap
      4    0.1%    0.5%  __GI___pthread_mutex_lock
      3    0.1%    0.3%  operator new(unsigned long)
      3    0.1%    0.3%  __mmap
      2    0.0%    0.2%  std::ostream::sentry::sentry(std::ostream&)
      2    0.0%    0.2%  operator delete(void*)
      2    0.0%    0.2%  llseek
      2    0.0%    0.2%  __close_nocancel
      2    0.0%    0.2%  _IO_getline_info
      1    0.0%    0.1%  writev
      1    0.0%    0.1%  std::ostream::put(char)
      1    0.0%    0.1%  std::ostream::operator<<(int)
      1    0.0%    0.1%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.0%    0.1%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.0%    0.1%  shutdown
      1    0.0%    0.1%  epoll_ctl
      1    0.0%    0.1%  __libc_write
      1    0.0%    0.1%  __fxstat
      1    0.0%    0.1%  __errno_location
      1    0.0%    0.1%  __clock_gettime
      1    0.0%    0.1%  _IO_sputbackc
      1    0.0%    0.1%  _IO_padn
      1    0.0%    0.1%  _IO_file_sync
      1    0.0%    0.1%  _IO_do_write

 [Summary]:
   ticks  total  nonlib   name
    341    7.0%   38.4%  JavaScript
    540   11.1%   60.9%  C++
    335    6.9%   37.8%  GC
   3958   81.7%          Shared libraries
      6    0.1%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     97   27.6%    2.0%  __read
     55   15.7%    1.1%  fwrite
     45   12.8%    0.9%  __write
     43   12.3%    0.9%  __pthread_cond_signal
     15    4.3%    0.3%  syscall
     13    3.7%    0.3%  _IO_file_xsputn
     11    3.1%    0.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     11    3.1%    0.2%  __libc_malloc
     10    2.8%    0.2%  __libc_open
      9    2.6%    0.2%  __GI___pthread_mutex_unlock
      6    1.7%    0.1%  __mprotect
      4    1.1%    0.1%  fgets
      4    1.1%    0.1%  __lll_lock_wait
      3    0.9%    0.1%  std::ostreambuf_iterator<char, std::char_traits<char> > std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::_M_insert_int<long>(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      3    0.9%    0.1%  cfree
      2    0.6%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      2    0.6%    0.0%  operator new(unsigned long)
      2    0.6%    0.0%  llseek
      2    0.6%    0.0%  __close_nocancel
      2    0.6%    0.0%  _IO_getline_info
      1    0.3%    0.0%  writev
      1    0.3%    0.0%  std::ostream::operator<<(int)
      1    0.3%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.3%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      1    0.3%    0.0%  operator delete(void*)
      1    0.3%    0.0%  __libc_write
      1    0.3%    0.0%  __fxstat
      1    0.3%    0.0%  __GI___pthread_mutex_lock
      1    0.3%    0.0%  _IO_sputbackc
      1    0.3%    0.0%  _IO_padn
      1    0.3%    0.0%  _IO_file_sync
      1    0.3%    0.0%  _IO_do_write

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   3850   79.5%  /usr/bin/node
   2112   54.9%    /usr/bin/node
    384   18.2%      LazyCompile: ~compileFunction node:vm:308:25
    377   98.2%        LazyCompile: ~wrapSafe node:internal/modules/cjs/loader:1017:18
    377  100.0%          LazyCompile: ~Module._compile node:internal/modules/cjs/loader:1055:37
    377  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      7    1.8%        LazyCompile: *Module._compile node:internal/modules/cjs/loader:1055:37
      7  100.0%          LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1110:37
      7  100.0%            LazyCompile: ~Module.load node:internal/modules/cjs/loader:969:33
     91    4.3%      LazyCompile: ~memoryUsage node:internal/process/per_thread:165:23
     91  100.0%        LazyCompile: ~<anonymous> file:///home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/routers/views.js:30:34
     91  100.0%          LazyCompile: ~handle /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/layer.js:86:49
     91  100.0%            LazyCompile: ~next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/route.js:114:16
     75    3.6%      /usr/bin/node
      5    6.7%        LazyCompile: ~expressInit /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/middleware/init.js:29:30
      5  100.0%          LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      5  100.0%            LazyCompile: ~query /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/middleware/query.js:39:24
      5    6.7%        LazyCompile: *quotedString /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
