Statistical profiling result from isolate-0x642d700-83925-v8.log, (5847 ticks, 11 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3  100.0%            LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      3    4.1%        LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:271:16
      3  100.0%          /usr/bin/node
      3  100.0%            LazyCompile: ~<anonymous> /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/minimatch/minimatch.js:181:26
      3    4.1%        LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
      3  100.0%          LazyCompile: *parse /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
      3  100.0%            LazyCompile: ~parseWithoutProcessing /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      3    4.1%        LazyCompile: *header /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:754:29
      2   66.7%          LazyCompile: ~contentType /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:594:32
      2  100.0%            LazyCompile: ~send /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:107:25
      1   33.3%          LazyCompile: *send /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/response.js:107:25
      1  100.0%            LazyCompile: *renderView /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:183:19
      3    4.1%        LazyCompile: *appendEscaped /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:416:40
      3  100.0%          LazyCompile: *compile /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      2   66.7%            LazyCompile: ~compileInput /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:507:24
      1   33.3%            LazyCompile: *render /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express-handlebars/lib/express-handlebars.js:150:15
      2    2.7%        LazyCompile: ~stat node:internal/modules/cjs/loader:151:14
      1   50.0%          LazyCompile: ~tryFile node:internal/modules/cjs/loader:384:17
      1  100.0%            LazyCompile: ~tryExtensions node:internal/modules/cjs/loader:400:23
      1   50.0%          LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%            LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      2    2.7%        LazyCompile: ~messageHandler /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/cmap/connection.js:220:33
      1   50.0%          LazyCompile: ~emit node:events:343:44
      1  100.0%            LazyCompile: ~processIncomingData /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/cmap/message_stream.js:103:29
      1   50.0%          LazyCompile: *emit node:events:343:44
      1  100.0%            LazyCompile: ~processIncomingData /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/connect-mongo/node_modules/mongodb/lib/cmap/message_stream.js:103:29
      2    2.7%        LazyCompile: ~isIPv6 node:internal/net:35:16
      2  100.0%          LazyCompile: ~isIP node:internal/net:39:14
      1   50.0%            LazyCompile: ~lookupAndConnect node:net:980:26
      1   50.0%            LazyCompile: ~lookup node:dns:97:16
      2    2.7%        LazyCompile: ~expressInit /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/middleware/init.js:29:30
      2  100.0%          LazyCompile: *next /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/router/index.js:176:16
      2  100.0%            LazyCompile: ~query /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/express/lib/middleware/query.js:39:24
      2    2.7%        LazyCompile: ~escapeExpression /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/utils.js:77:26
      2  100.0%          Function: ~<anonymous> :1:20
      2  100.0%            LazyCompile: ~main /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/runtime.js:207:18
      2    2.7%        LazyCompile: ~Module.load node:internal/modules/cjs/loader:969:33
      2  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:997:36
      2    2.7%        LazyCompile: *pushSource /home/hoffme/Documentos/coder/nodejs/entregas/entrega-8-a-13-,-17-,-20-,-22-a-30/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:881:34
